SCENARIO,CASE,SubWS,CASE2,TER.AREA,TA,NP,PD,TE,ED,LSI,AREA_AM,PARA_AM,PAFRAC,NDCA,DCAD,CWED,TECI,ECON_AM,CONTAG,CONNECT,COHESION,DIVISION,RPR,SHDI,AI,CA.DEV,PLAND.DEV,NP.DEV,CWED.DEV,TECI.DEV,CA.FOR,PLAND.FOR,NP.FOR,CWED.FOR,TECI.FOR,CA.LOAG,PLAND.LOAG,NP.LOAG,CWED.LOAG,TECI.LOAG,CA.HIAG,PLAND.HIAG,NP.HIAG,CWED.HIAG,TECI.HIAG,CA.WTR,PLAND.WTR,NP.WTR,CWED.WTR,TECI.WTR,POP_MIN,POP_MAX,POP_RANG,POP_MEAN,POP_STD,POP_SUM,MEAN_RI,AMP_MIN,AMP_MAX,AMP_RANG,AMP_MEAN,AMP_STD,AMP_SUM,P_AVL_TOT,P_AVL_HA,P_RET_TOT,P_RET_HA,P_EXP_TOT,P_EXP_HA,N_AVL_TOT,N_AVL_HA,N_RET_TOT,N_RET_HA,N_EXP_TOT,N_EXP_HA,P_VALUE,N_VALUE,GITTEST
BE,BENSubwatershed1,1,BE1,12919.757,13007.7822,6328,48.6478,1771625.0052,136.1973,40.4411,619.1181,276.3444,1.3382,6328,48.6478,33.7505,23.7844,24.2434,23.9959,.1289,96.5288,.9524,100,1.3903,79.5737,3519.4612,27.0566,1201,9.1093,16.9795,4289.5456,32.9768,1368,24.6358,29.569,2836.1265,21.8033,2528,20.5085,22.9077,2274.6237,17.4866,984,11.6297,25.5891,88.0253,.6767,247,1.2319,27.9689,0,70.3641433716,70.3641433716,.21963927582,.921628219931,31358.3386874,7.82562998579622,0,28.9728469849,28.9728469849,2.13055703124,2.47452996495,304117.841196,9391.61732951313,.726919037990663,5995.62703812556,.464066548474987,3395.99029138757,.262852489515675,56765.4746006653,4.39369522202819,35998.5941968894,2.78632130595718,20766.8804037759,1.60737391607101,32672521.3655722,16405156.9951011,0
BE,BENSubwatershed10,10,BE10,10454.5942,10464.5266,5312,50.762,1560952.2912,149.1661,39.4912,133.1661,301.5226,1.3502,5312,50.762,36.952,23.9212,25.817,29.3834,.1618,94.6515,.9873,100,1.2326,77.6771,744.9343,7.1187,1421,7.4095,17.5641,4187.0317,40.0117,832,27.7162,30.9441,3709.0892,35.4444,2077,27.8087,23.263,1813.539,17.3303,922,10.2911,20.8676,9.9325,.0949,60,.2259,24.7848,0,46.5830879211,46.5830879211,.059860464267,.708266041923,6874.43557688,7.70501924055883,0,14.8668870926,14.8668870926,.655331677156,.782957481943,75268.7751115,8256.51169964467,.789749610716088,5883.7096581877,.562786995423285,2372.80204145697,.226962615292803,40833.7302089762,3.90581685217167,28956.3395165601,2.76972390918436,11877.3906924161,1.13609294298731,32062639.7028293,13195884.6274521,0
BE,BENSubwatershed11,11,BE11,9582.9071,9641.9551,4509,46.7644,1328907.4205,137.8255,35.1206,292.5955,279.1262,1.3559,4509,46.7644,33.6647,23.5154,25.1988,32.7721,.1988,96.3764,.9697,100,1.1811,79.3955,977.9369,10.1425,1321,8.0681,16.5661,4448.6471,46.1384,836,25.7245,28.349,3439.546,35.6727,1530,27.2926,24.5372,716.7771,7.4339,683,4.9603,20.1573,59.048,.6124,139,.8596,22.3575,0,24.1743221283,24.1743221283,.069996934282,.69798557353,7407.91554893,7.53423209336017,0,20.3974761963,20.3974761963,.967050896573,1.21477301772,102333.325875,4904.7925747413,.511827206875594,3462.30680143868,.36130025735496,1442.48577330262,.150526949520633,31158.3886518106,3.25145473358607,22183.500382856,2.31490299878374,8974.88826895461,.936551734802335,18867466.6093869,10109389.3970194,0
BE,BENSubwatershed12,12,BE12,8119.1911,8158.1008,3101,38.0113,950185.5593,116.4714,27.9307,786.0443,238.4487,1.347,3101,38.0113,25.6773,20.7389,20.4286,35.6305,.2574,97.6107,.9036,100,1.1766,82.5191,3637.1016,44.5827,696,11.3344,15.5239,2425.8887,29.7359,754,17.9101,25.0559,1846.8902,22.6387,1271,18.849,23.3651,209.3106,2.5657,237,2.1791,22.65,38.9097,.4769,143,.7079,19.3253,.000102701531432,60.2885780334,60.2884753319,.255183870136,1.53934331154,22848.6533642,7.65184874189101,0,34.758480072,34.758480072,3.58516134885,2.86334058741,320900.622013,4059.64649322972,.500006274421811,2585.106862445,.318394632002812,1474.53963078472,.181611642418999,30925.0458405167,3.80888261646122,19054.617500851,2.34686156122757,11870.4283396657,1.46202105523365,14087260.3746759,8683505.52450386,0
BE,BENSubwatershed13,13,BE13,3544.4291,3568.0301,1645,46.1039,454580.9428,127.4039,20.2955,574.5828,259.241,1.3663,1645,46.1039,31.1592,22.9127,25.903,42.877,.4736,97.3272,.839,100,.9768,81.1376,269.2698,7.5467,478,7.0232,15.3901,2265.8759,63.505,228,25.3757,27.5476,889.5472,24.931,687,25.2684,25.1237,119.7362,3.3558,213,3.278,18.8821,23.601,.6615,39,.5789,16.2905,0,11.3743638992,11.3743638992,.0883660961965,.865522460842,3460.15122877,7.2560247742846,0,13.0128889084,13.0128889084,.840166888998,.87098134321,32897.5747056,1100.20659163321,.310404457415499,809.05039778018,.228259721087433,291.156193853026,.0821447363280666,8880.93120942265,2.50560272440564,6591.92189402686,1.85979792740864,2289.00931539578,.645804796997007,4408832.6774178,3004048.2408699,0
BE,BENSubwatershed14,14,BE14,14404.7048,14422.0183,6366,44.1408,1929440.8741,133.7844,41.4089,366.5329,270.5368,1.349,6366,44.1408,33.29,24.1261,26.243,33.9538,.1369,96.2995,.9746,100,1.167,79.9489,688.62,4.7748,1816,6.197,17.6358,6320.7785,43.8273,1000,25.072,30.9969,5236.0449,36.3059,2246,25.4368,23.376,2159.2614,14.972,1223,9.3005,20.8416,17.3135,.12,81,.2803,26.1543,0,29.8474178314,29.8474178314,.0347017061461,.507621056048,5491.9961198,7.78373520319657,0,5.58763313293,5.58763313293,.46535379773,.422329921971,73649.6841515,9828.41075608286,.682305600326003,6542.24038535945,.454173860290386,3286.17037072341,.228131740035617,52773.6926542558,3.66364277414805,35763.3504066021,2.48275482928342,17010.3422476537,1.18088794486463,35651231.7077335,16297952.4945398,0
BE,BENSubwatershed15,15,BE15,11875.391,11983.7368,3603,30.0657,1084063.4052,90.4612,26.699,3651.981,186.9579,1.3567,3603,30.0657,18.9144,19.369,18.1761,44.7565,.2387,98.7517,.6953,100,1.0425,86.3181,7096.6948,59.2194,857,9.0957,14.8547,2936.18,24.5014,913,14.0053,23.1858,1616.6212,13.4901,1390,12.4334,22.8959,225.895,1.885,394,1.7246,19.071,108.3458,.9041,49,.3369,17.0574,0,81.8827133179,81.8827133179,.442768313754,1.34504225466,58219.1628072,7.6494618854447,0,43.0628547668,43.0628547668,4.27641106456,3.46094981628,562292.461645,4910.69709133875,.413518770989414,2911.83717422336,.245199267478718,1998.85991711538,.168319503510696,46244.8751265109,3.89417705290806,25718.3125744777,2.16568132994338,20526.5625520332,1.72849572296467,15867741.8863638,11720261.9948377,0
BE,BENSubwatershed16,16,BE16,15841.175,15904.4147,6508,40.9195,1982509.0258,124.6515,40.6998,661.8836,252.1576,1.3589,6508,40.9195,31.7115,24.5522,26.983,41.3594,.134,97.4525,.9584,100,1.0218,81.3072,714.2256,4.4907,1918,5.514,16.4748,8605.9726,54.1106,1020,25.4694,29.9065,5637.5349,35.4464,2246,27.163,25.1473,883.4419,5.5547,1187,4.4439,19.116,63.2397,.3976,137,.4753,21.0084,0,116.086235046,116.086235046,.0684595663797,1.09082609032,11949.0011755,7.34969037560548,0,8.77327060699,8.77327060699,.522057413305,.528352724573,91105.8053682,7222.09313273541,.455906404211519,5346.13353355039,.337483395868703,1875.95959918502,.118423008342817,46218.744790491,2.91763362190564,34383.5704147446,2.17051894286532,11835.1743757465,.747114679040317,29133176.7282069,15669163.8462576,0
BE,BENSubwatershed17,17,BE17,12879.6626,13024.4578,4663,35.8019,1456536.6274,111.8309,33.6486,1709.8722,228.2323,1.3651,4663,35.8019,25.0707,21.2333,20.6449,38.5724,.1774,97.9187,.8687,100,1.1283,83.1757,5584.3188,42.8756,1223,9.7271,15.1863,4893.4207,37.571,980,19.5701,24.8012,2286.0141,17.5517,1880,18.4841,24.76,115.909,.8899,469,1.4422,20.0087,144.7952,1.1117,111,.5791,16.9742,0,66.8229522705,66.8229522705,.305808138827,1.1321149102,43702.4295035,7.51922154501565,0,29.2846336365,29.2846336365,3.14084458518,2.99767450348,448964.888384,4982.38166018226,.38684100779024,3149.5844240785,.244539358047974,1832.79723610376,.142301649742266,43872.1413520277,3.40631138520878,26642.0863576085,2.06853915238498,17230.0549944191,1.33777223282379,17163319.8219331,12141241.0435565,0
BE,BENSubwatershed18,18,BE18,6770.8373,6785.2348,2844,41.9145,905599.8595,133.4663,28.6804,163.5463,270.1179,1.351,2844,41.9145,31.5993,22.6788,25.1891,34.8049,.316,95.9749,.9759,100,1.1543,80.151,298.5204,4.3996,714,5.2065,16.709,2564.5786,37.7965,435,22.915,31.6891,2964.7928,43.6948,883,26.1805,22.2116,942.9455,13.897,761,8.0393,17.0476,14.3975,.2122,51,.3757,23.2005,0,16.7967777252,16.7967777252,.0416256180467,.601766720799,3098.56938178,7.41919806337144,0,7.42835521698,7.42835521698,.525046358067,.52759559235,39088.6512654,4975.0052834251,.734769580628543,3719.595502301,.549355321579062,1255.40978112409,.185414259049482,26535.2723406106,3.91905331126634,19753.7628386898,2.9174771100599,6781.50950192085,1.00157620120644,20269533.5696214,9002117.66160307,0
